speakerid,sex,area_code,area_str,lng,lat,word,ms_time,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1290,14.1518417821,-3.74838265951,-20.9225035281,-23.2616269036,-27.1463716457,5.68921080112,18.3817311607,-1.00456561426,-20.6321361769,-7.98556610742,12.4926504909,1.61994038849,-13.0927046396
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1300,13.2330916748,-7.63097012529,-20.7801756911,-23.1415595695,-20.1487469085,4.54450359658,18.5265096968,2.29104586371,-2.20354727118,7.45025929023,14.1902246359,2.69381371113,-5.26198533826
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1310,13.395021129,0.841499888919,-16.1260116429,-25.2292130355,-23.8778404959,2.70159583826,15.5594316529,5.35555768436,1.1020604799,4.74659403256,22.2005112782,4.10548669197,-9.33586923208
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1320,13.1225256857,11.2835856477,-0.300201626226,-6.0979669405,-18.182855245,-2.68063933152,11.2189798283,-8.08986704863,-14.1063221003,-9.01445146482,3.5822522563,-6.02992899075,-9.15456087924
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1330,15.9698731616,12.842927775,-6.08017474836,-4.78318979996,-43.887266388,-14.6153874591,23.9119434313,-21.4272898267,-7.68123115876,0.0304856437325,-0.739206776843,-4.94864141352,-7.4756844561
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1340,17.005118495,14.0926598068,-10.523878876,-7.55147705881,-41.3928731781,-18.4437560771,23.9931860398,-14.2608498708,-3.31070014004,2.00986089332,13.1334432684,-6.18694175789,-5.9798957021
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1350,17.0224023249,6.77137071628,-4.20313757157,-15.2904847012,-32.4731539097,-20.1745770928,5.44093481501,-8.05798937914,-7.64871392927,2.67339877739,-1.03791944567,-7.27353351175,-10.0201889623
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1360,17.0790413225,7.14179427859,-5.65527309807,-21.7378534952,-31.3334048018,-13.432768644,6.60570822388,-3.47574265057,-2.35108198583,2.60333469074,4.5903886464,-0.723667555067,-5.54938304983
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1370,17.2648753252,6.8306128441,-4.62118884415,-14.3145979156,-38.8905728525,-18.9847596487,16.0586455975,-0.423052449435,-0.445705624551,7.93560266636,-3.27177350836,-9.27335627229,-4.45323633192
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1380,17.2051336612,9.11727625222,-2.02589234784,-9.29202803052,-41.7675287855,-19.0316533556,17.6614358573,4.19978599063,1.33429335786,4.84190759476,3.23548347873,5.26580479806,3.41057624745
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1390,17.5572538119,9.28838182935,-10.3538611288,-14.4838639457,-33.6446407582,-20.6393132319,5.78382451233,-4.58753258726,-4.51981770488,4.12726568013,0.943050094111,-0.873526640461,1.30692938151
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1400,17.6507878051,0.4933516795,-4.74628854309,-17.4650570533,-28.2901522174,-18.0957199842,1.67428649681,0.9534590913,2.28517901156,3.48769210185,2.78154547411,1.94171387746,0.186567953212
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1410,17.4206463522,7.5308382722,-0.0219813446127,-12.4146555018,-35.6903455862,-19.5569225717,12.0947227711,-0.710662137305,6.31940737153,5.29143571121,-1.21884444683,3.32373163774,-0.889230003639
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1420,17.5732504938,-0.772164431083,-3.82163623118,-17.9761392159,-28.8221887826,-16.0339411492,2.99637273325,-0.308343189402,1.90738295832,2.14421593176,2.58525640388,3.01762933115,-4.70422198212
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1430,17.2638124608,14.8574429223,-4.68881584609,-9.76146169404,-46.3941869051,-15.6569993706,21.8797223758,-12.1654256225,5.12009325618,2.48029794368,8.24130634672,9.21943990448,-2.32102794844
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1440,17.3590662109,3.23578100062,-4.48793414922,-16.1273747024,-34.6344675902,-15.0936274615,10.4023031327,-3.6703218289,3.10505302817,2.10712245625,-3.3594052631,0.555340641933,-4.75615131567
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1450,17.2033383372,9.53076297291,0.264472703693,-12.6232857172,-39.1271996406,-14.0815634504,21.2128568238,-2.05591056696,7.32163193324,4.74613924935,-1.72306867295,2.76821585883,3.41785813873
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1460,17.7049345764,2.75205512725,-4.20847158444,-20.7435822261,-34.9505213144,-17.5653918755,1.70089513706,-11.4867939205,0.022175403609,-4.34745891422,-10.6162278343,1.69910890727,-2.68347045859
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1470,17.4716224801,5.14790230448,-2.9706676868,-16.4089400828,-31.8851006826,-17.3485476584,8.90358696801,-3.46848926962,1.31547653707,5.09286042307,-0.833177966422,4.24465343345,1.62443626323
00673,0,2,Mid-Atlantic,-75.85471,37.981944,call,1480,17.5069966141,3.14898214871,-2.47913700791,-17.2049527547,-31.356677522,-15.1831259965,7.91238954389,-1.58741221034,0.66766528754,0.960999596401,-1.90462496378,2.21044484524,0.622222389526
